_id,userId,bitId,watchedMs,totalDurationMs,watchPercent,completedWatch,rewatched,replayCount,pauseCount,soundOn,tappedProduct,scrolledToProduct,addedToCart,likedDuringWatch,sharedDuringWatch,source,deviceType,timestamp,__v
{'$oid': '6a13c2b1a9955ce943960ed7'},{'$oid': '698e259d2c63bfbc04768479'},{'$oid': '6a130b7ea9955ce94395f9c6'},1997,48926,4,False,True,0,0,True,{'$oid': '6a130b7ea9955ce94395f9c6'},False,False,False,False,feed,android,{'$date': '2026-05-25T03:32:01.652Z'},0
{'$oid': '6a147f26a9955ce9439631ee'},{'$oid': '698e259d2c63bfbc04768479'},{'$oid': '6a130b7ea9955ce94395f9c6'},4828,48926,10,False,True,0,0,True,{'$oid': '6a130b7ea9955ce94395f9c6'},False,False,False,False,feed,android,{'$date': '2026-05-25T16:56:06.194Z'},0
{'$oid': '6a14818ca9955ce943963548'},{'$oid': '698e259d2c63bfbc04768479'},{'$oid': '6a130a9ba9955ce94395f998'},2036,34645,6,False,False,0,0,True,{'$oid': '6a130a9ba9955ce94395f998'},False,False,False,False,feed,android,{'$date': '2026-05-25T17:06:20.793Z'},0
{'$oid': '6a152c13a9955ce9439646c3'},{'$oid': '698e259d2c63bfbc04768479'},{'$oid': '6a130a9ba9955ce94395f998'},6188,34645,18,False,True,0,0,True,{'$oid': '6a130a9ba9955ce94395f998'},False,False,False,False,recommendation,android,{'$date': '2026-05-26T05:13:55.202Z'},0
{'$oid': '6a16e068e49f2b0b8e665554'},{'$oid': '6a084ac71a9ba20ae97f5f37'},{'$oid': '6a1598534dfbf8e8d4fdb4c1'},2672,52664,5,False,False,0,0,True,{'$oid': '6a1598534dfbf8e8d4fdb4c1'},False,False,False,False,feed,android,{'$date': '2026-05-27T12:15:36.6Z'},0
{'$oid': '6a16e71be49f2b0b8e6657cc'},{'$oid': '6a084ac71a9ba20ae97f5f37'},{'$oid': '6a1598534dfbf8e8d4fdb4c1'},2859,52664,5,False,True,0,0,True,{'$oid': '6a1598534dfbf8e8d4fdb4c1'},False,False,False,False,feed,android,{'$date': '2026-05-27T12:44:11.437Z'},0
{'$oid': '6a16e722e49f2b0b8e6657e5'},{'$oid': '6a084ac71a9ba20ae97f5f37'},{'$oid': '6a130b7ea9955ce94395f9c6'},4832,48926,10,False,False,0,0,True,{'$oid': '6a130b7ea9955ce94395f9c6'},False,False,False,False,feed,android,{'$date': '2026-05-27T12:44:18.939Z'},0
{'$oid': '6a16e72be49f2b0b8e665830'},{'$oid': '6a084ac71a9ba20ae97f5f37'},{'$oid': '6a130a9ba9955ce94395f998'},3248,34645,9,False,False,0,0,True,{'$oid': '6a130a9ba9955ce94395f998'},False,False,False,False,feed,android,{'$date': '2026-05-27T12:44:27.533Z'},0
{'$oid': '6a17140b2f26047b217b5aee'},{'$oid': '6a084ac71a9ba20ae97f5f37'},{'$oid': '6a130b7ea9955ce94395f9c6'},2264,48926,5,False,True,0,1,True,{'$oid': '6a130b7ea9955ce94395f9c6'},True,False,False,False,feed,android,{'$date': '2026-05-27T15:55:55.216Z'},0
{'$oid': '6a17324c7115773f501ee9ba'},{'$oid': '6a084ac71a9ba20ae97f5f37'},{'$oid': '6a1598534dfbf8e8d4fdb4c1'},3784,52664,7,False,True,0,1,True,{'$oid': '6a1598534dfbf8e8d4fdb4c1'},False,False,False,False,recommendation,android,{'$date': '2026-05-27T18:05:00.126Z'},0
{'$oid': '6a1732557115773f501ee9d3'},{'$oid': '6a084ac71a9ba20ae97f5f37'},{'$oid': '6a1598534dfbf8e8d4fdb4c1'},5954,52664,11,False,True,0,0,True,{'$oid': '6a1598534dfbf8e8d4fdb4c1'},False,False,False,False,recommendation,android,{'$date': '2026-05-27T18:05:09.727Z'},0
